Epoch,Train Dice Score,Val Dice Score,Train IoU,Val IoU,Train Precision,Val Precision,Train Recall,Val Recall,Train F1 Score,Val F1 Score,Train Accuracy,Val Accuracy,Train MAE,Val MAE,Train MSE,Val MSE,Epoch Time,Train BCE Loss,Val BCE Loss,Train Dice Loss,Val Dice Loss,Avg Train FPS,Avg Val FPS,Avg Prediction Time,Total Prediction Time
1,0.7207584802178344,0.8267035971455179,0.5791451676168216,0.714415876070919,0.782001451364549,0.8196579841154216,0.7328838810477197,0.8498540113657854,0.7207584754876898,0.8267035921958819,0.9827038139329807,0.9879158950617284,0.017296186029644948,0.01208410492205682,0.017296186029644948,0.01208410492205682,59.98699331283569,0.04454673583220158,0.03286343133077026,0.35820900201797484,0.1732964038848877,6.0573214872227386,6.547863798484869,0.0035180171330769856,0.10554051399230957
2,0.8097631846798145,0.8214490204320327,0.6948353329024454,0.7073051060977004,0.8419048340726937,0.7905347405690474,0.81912359084395,0.8672851453663962,0.8097631798260927,0.8214490154789368,0.9880579805996472,0.9861543209876545,0.011942019410032248,0.01384567900095135,0.011942019410032248,0.01384567900095135,50.23087930679321,0.029890810645052366,0.03589425917404394,0.27383050833429606,0.17855098644892375,6.923453024127987,6.477585533761311,0.004875795046488444,0.14627385139465332
3,0.821633181746506,0.7715316624004356,0.7084814136917624,0.6564758499807329,0.8294478448081528,0.7263801786222057,0.8432313890924364,0.8890979434049974,0.8216331768433586,0.7715316576800471,0.9886251102292771,0.9796152263374487,0.011374889794803623,0.02038477367411057,0.011374889794803623,0.02038477367411057,51.48085904121399,0.027688099809789233,0.043841613262581326,0.25642660089901514,0.2284683346748352,6.798496881122109,6.423679083143705,0.005034883817036946,0.1510465145111084
4,0.855587641475684,0.8514457807410479,0.7591388502721939,0.7537145571359364,0.8514432667833088,0.8809249942036228,0.8849886404198396,0.8389315245372592,0.8555876365605979,0.851445775799108,0.9910516975308644,0.9891671810699587,0.008948302461898752,0.01083281902053083,0.008948302461898752,0.01083281902053083,49.532740116119385,0.022237095263387477,0.030758582474663853,0.21235886812210084,0.14855421582857767,6.671072675862149,6.341613405830062,0.005515050888061523,0.1654515266418457
5,0.8820300334364682,0.8429937322688829,0.7962255661333266,0.7420449259630753,0.8905226411681925,0.790740692835286,0.8882880585648861,0.9194072093632655,0.8820300284823777,0.8429937273437118,0.9925388007054673,0.9877011316872429,0.007461199271658968,0.012298868346260861,0.007461199271658968,0.012298868346260861,49.76958107948303,0.018866637448913284,0.03506665382689486,0.18058672291891917,0.15700627168019612,6.653142144555335,6.348054620188136,0.004556830724080404,0.1367049217224121
6,0.8816084627750136,0.872091170021983,0.7960154831254349,0.78303778927071,0.8858848727982332,0.8194301724811413,0.8916581100786387,0.9464080521120842,0.8816084578195114,0.8720911650898219,0.992678020282187,0.9910892489711933,0.0073219796784022555,0.008910751059496154,0.0073219796784022555,0.008910751059496154,50.12260961532593,0.01896639525491212,0.021301295220231015,0.17804918118885585,0.1279088278611501,6.643818908389107,6.345419989760923,0.005049562454223633,0.15148687362670898
7,0.8683951378695721,0.8117489643430021,0.7756844446163226,0.7047647395426679,0.8786704626365646,0.929901280031276,0.8739799721341504,0.7403748554304133,0.868395132919025,0.8117489595099064,0.9919790564373898,0.9873189300411526,0.008020943542110867,0.01268106999535424,0.008020943542110867,0.01268106999535424,50.94617295265198,0.02017685032915324,0.048693790069470805,0.18951870713915145,0.18825103640556334,6.597097253911819,6.343954763247781,0.005019863446553548,0.15059590339660645
8,0.8915482824914948,0.8085761983786376,0.8110587237544817,0.7028033313030321,0.8870133911327615,0.9246923308702136,0.9105976980684787,0.7446190762885122,0.8915482775358742,0.8085761935673831,0.9929096119929453,0.9872780349794238,0.007090387983979391,0.012721965025411919,0.007090387983979391,0.012721965025411919,54.04507493972778,0.018908869714609214,0.03880296377465129,0.1705770867211478,0.19142379562060038,6.622881251174112,6.329322755716764,0.005571047465006511,0.1671314239501953
9,0.910919269870244,0.825137028014029,0.8404573440762806,0.7358746943727587,0.909430510569028,0.8892954805774506,0.9204778699215895,0.7847470750267002,0.9109192648932337,0.8251370232635507,0.9945458553791888,0.9887386831275718,0.005454144596920482,0.011261316811821112,0.005454144596920482,0.011261316811821112,50.30597138404846,0.013937318823965532,0.04728228907721738,0.13821947148868016,0.17486297289530436,6.568808110402211,6.319598753147454,0.0052338043848673505,0.1570141315460205
10,0.9389637399674964,0.859137005474429,0.8883111639313626,0.7721343315706175,0.9344407284012176,0.9251349524455993,0.9477496531465146,0.8202419294281003,0.9389637349800058,0.8591370005690863,0.9963440255731922,0.9898662551440329,0.0036559744284854136,0.010133744852889018,0.0036559744284854136,0.010133744852889018,50.55060410499573,0.009991361264006368,0.03767365667348107,0.09610795293535505,0.14086299141248068,6.6202251777700845,6.401516961035231,0.005936368306477865,0.17809104919433594
11,0.9541890131874252,0.8712902444555635,0.9132715672038072,0.7847738944549717,0.9523114404695128,0.9310200800079548,0.9567066877523996,0.8338649975306,0.9541890081875641,0.8712902395286706,0.9971382275132271,0.9905725308641975,0.0028617724767952624,0.009427469252841547,0.0028617724767952624,0.009427469252841547,50.89610314369202,0.007712444603177053,0.03597894358681515,0.0744396618434361,0.12870975534121196,6.58837559348697,6.261742778169032,0.010246928532918293,0.30740785598754883
